"huid","Tabloid_dict","Non_tabliod_dict"
5107059221,0,0.00901
4272799909,0,0.00348
3881309328,0.00625,0.00625
2372988997,0,0
2900037438,0.00877,0
4745338914,0.00513,0
3315081763,0.00641,0.01282
5396231192,0.00205,0.0041
3190379280,0,0
3416692093,0,0
5139097654,0.00723,0.0012
6097299260,0.00926,0
2771629822,0,0
3578602472,0.00766,0.00383
2047720057,0,0
5032341175,0.01389,0.00772
5571023826,0,0
2186857832,0,0
5558326424,0,0
2540420123,0,0
4060919070,0.01233,0.0077
3219069790,0,0
1968256587,0,0
4080553649,0.00699,0.00699
2067928208,0,0
2895627679,0.01351,0
2215163361,0,0.00952
2461079003,0.00645,0
2556081618,0.00331,0.00331
2145699858,0.00348,0
2652827130,0,0
4095617738,0,0.00769
3863037471,0,0.00559
4943482022,0,0
4419968605,0.03659,0.0061
2981451586,0,0
3484715082,0.01015,0
5742832094,0,0
6013721253,0,0
5599823425,0,0.01389
3132622160,0.00459,0
3891610028,0.01489,0.01489
5968668005,0,0
2798524512,0.01176,0
6127558034,0.00606,0
5326439674,0,0
4700368124,0,0
3611857829,0.00175,0.00175
5053282239,0.0438,0
5253443325,0,0
4298702754,0.005,0
3168019149,0.02586,0
3350187977,0,0
2087569616,0.00131,0.00131
3263181721,0.0082,0
4906877331,0.00179,0
5259521369,0,0.0041
5321102576,0,0
5509244516,0.0035,0
2391233820,0.00714,0
2768376153,0.00382,0
2447522986,0,0
5711216256,0.00687,0
3359020942,0.00431,0.00431
5283989116,0,0.01613
3395574679,0,0
5180353525,0.00357,0.00714
6012284766,0.01325,0.00662
5048411904,0,0.01266
2542387758,0,0
3912216929,0.0079,0.00176
2283948792,0.00444,0.00148
2785988686,0,0.00323
2338243797,0.00509,0
4674067799,0.01026,0.00513
4541934308,0,0.00633
2624558803,0.00673,0.0101
2661052525,0.00728,0
5174855661,0.00498,0
4759869747,0.00639,0.01278
2586482960,0,0
2102727390,0,0
2973833741,0.01117,0.00559
5095223162,0,0
5122188055,0.01794,0.00448
3447626470,0,0
3687438731,0,0
2526600098,0.01128,0.01128
2927616853,0.00465,0
3930877019,0.00431,0
2566301411,0.00592,0
2888787444,0.0082,0
3562678671,0.01316,0
2740083273,0.00532,0
2190587368,0,0
3333612313,0.00862,0
4084601917,0.00897,0
4522779499,0.05556,0
2726151924,0,0.01478
2400793633,0.00473,0.00236
6064395968,0.00461,0.00461
4980752202,0,0.00997
3281502263,0,0
4284345462,0.0125,0
6032218112,0,0.01288
3451562549,0.00372,0
4320719313,0,0
5102418270,0,0.01316
5106361203,0,0
4625450763,0.00833,0.00208
3272108203,0.00649,0.00216
2326271614,0.00255,0
6120122178,0.00353,0
2244561541,0.00217,0.00108
3417349785,0.01143,0
3172905560,0,0
3033182710,0.00227,0
3292429983,0,0
2796202789,0,0
6039788529,0,0
2977325051,0,0.00417
5444876287,0.04878,0
3303963623,0,0
5811856828,0,0
5058891332,0,0
3897170650,0,0
5406211077,0,0
2010273885,0.00606,0
5397253394,0,0
2038676181,0.03067,0.00613
3398966832,0,0
3280318910,0.01119,0
4770853708,0.01575,0
5570601375,0.00299,0.00299
3054468766,0.00378,0.00252
5961534048,0.00344,0.00344
4386425055,0.00599,0.02994
5350210063,0.01366,0.00152
